Park Name,Address,Space Count,Phone Number
'Bush Gardens Mobile Home Park',"19 Bush Gdns, Alden, NY, 14004-9447, US",320,(716) 937-9695
'Country Meadows Mhp',"11922 Buckwheat Rd, Alden, NY, 14004, US",49,
'The West Bank',"3189 Broadway Road, Alexander, NY, 14005, US",12,585-434-3032
'Swan Bay Mh Estates & Marina',"Route 12, Alexandria Bay, NY, 13607, US",,315-482-2419
'Meadow Lane Mh Park',"20560 Pinehurst Rd, Alexandria Bay, NY, 13607-2122, US",90,315-482-2186
'Colonial Village',"3974 Route 417, Allegany, NY, 14706, US",156,716-557-4485
'Valley View Estates',"4115 S. Nine Mile Road #130, Allegany, NY, 14706, US",,
'Allegany',"4115 S. Nine Mile Road #130, Allegany, NY, 14706, US",,
'Scotch Pine Mobile Home Manor',"454 66 S. Albion, Altmar, NY, 13302, US",43,315-625-4737
'Gildersleeve Park Mobile Homes',"600 Broadway, Amityville, NY, 11701-2132, US",,(631) 789-3838
'Frontier Mobile Home Park',"805 Broadway, Amityville, NY, 11701, US",,631-789-0150
'Northway Mobile Home Park',"4293 State Hwy 30, Amsterdam, NY, 12010-8250, US",157,(518) 842-2622
'Melody Meadows Mhp',"8930 Erie Rd, Angola, NY, 14006, US",174,(716) 549-5995
'Trinton Derby Mhp',"7979 Erie Rd, Angola, NY, 14006, US",137,
'Stephens Trailer Park',"Stephens Rd, Apalachin, NY, 13732, US",45,
'Bouton Trailer Park',"Old Owego Rd, Apalachin, NY, 13732, US",16,
'Antioch Mobile Home Park',"2360 Antioch Pike, Antioch, TN, 37013, US",16,615-213-2650
'Country Meadows MHC',"75 B Waikiki Blvd., Antioch, TN, 37013, US",300,813-945-7378
'Surburban Mobile Home Park',"2702 Murfreesboro Rd, Antioch, TN, 37013-2004, US",,(615) 365-0420
'Canada Trace Mobile Home',"3300 Canada Rd, Arlington, TN, 38002, US",47,(901) 388-3053
'North Pointe Mobile Home Park',"1715 Velma Rd, Athens, TN, 37303-2245, US",,(423) 746-0400
'Belle Air Village',"1809 Velma Rd, Athens, TN, 37303-2215, US",,
'Holiday Mobile Home Park',"711 Hamby St # 53, Athens, TN, 37303-2268, US",,(423) 746-4458
'Athens Mobile Home Park',"1809 Velma Road, Athens, TN, 37303, US",,423-381-0280
'Atwood Acres Mobile Home Park',"23 Highway 79 Ln, Atwood, TN, 38220-2023, US",30,(731) 662-7402
'Southwood Manor',"9499 Brayton Dr #68, Anchorage, AK, 99507, US",417,(907) 344-0111
'Dimond Estates Mobile Home Pk',"1200 W Dimond Blvd, Anchorage, AK, 99515-1505, US",522,(907) 344-6611
'Manoogs Isle',"2611 Pago Pago Ave, Anchorage, AK, 99507-1823, US",365,(907) 563-3382
'Top Hand Trailer Court',"2409 Mcrae Rd, Anchorage, AK, 99517-2507, US",24,(907) 243-2611
'Greenland Acc Park',"3007 Arctic Blvd, Anchorage, AK, 99503-3812, US",,(907) 563-7328
'Glencaren Court',"2221 Muldoon Rd, Anchorage, AK, 99504-3614, US",460,(907) 337-9464
'Golden Nugget Camper Park',"4100 Debarr Rd, Anchorage, AK, 99508-3116, US",190,(907) 333-2012
'Mayflower Circle Park & Hm Sls',"1001 Boniface Pkwy, Anchorage, AK, 99504-1601, US",,(907) 333-7579
'Penland Park  -  Updated',"3240 Penland Pkwy. #1, Anchorage, AK, 99508, US",,(907) 274-2913
'Rangeview Mobile Home Park',"705 Muldoon Rd, Anchorage, AK, 99504-2029, US",300,(907) 333-5889
'Four Seasons',"5901 E 6th Ave, Anchorage, AK, 99504-1017, US",,(907) 929-1884
'Rolling Meadows Mobile Home',"301 S East St, Abingdon, IL, 61410-1759, US",72,(309) 462-2135
'Shady Acres Mobile Home Park',"600 4th Ave N # 45, Albany, IL, 61230-9608, US",48,(309) 887-4141
'Pleasant Hills Mobile Home Park',"7th & Terminal, Albion, IL, 62806, US",46,618-382-5371
'H & South Mobile Home Park',"North End Of College Lane, Aledo, IL, 61231, US",8,309-582-2124
'Daland Court',"200 North 45th Street, Alorton, IL, 62207, US",12,618-271-8891
'Mobley Mobile Home Park',"4201 4301 Broadway, Alorton, IL, 62207, US",6,618-875-3466
'Walnut Street',"3908 3926 Walnut Street, Alorton, IL, 62207, US",7,618-271-1338
'Connor Bosley Mh Park',"3803 Walnut, Alorton, IL, 62207, US",6,618-271-4229
'Alpha Mh Park',"Alpha, IL, 61413, US",36,
'Iva Belle Mobile Home Park',"North 3rd Street, Altamont, IL, 62411, US",22,618-214-9023
'Mound Mobile Home Park',"North 3rd Street, Altamont, IL, 62411, US",11,618-483-5348
'Altamont Mobile Home Park',"306 North 8th Street, Altamont, IL, 62411, US",7,618-483-5505
'Brown's Altamont Trailer Park',"504 North 8th, Altamont, IL, 62411, US",13,618-536-6603
'Oak View',"Rr 2, Altamont, IL, 62411, US",20,618-483-5998
'Enchanted Village',"246 Wonderland Dr., Alton, IL, 62018, US",,618-372-6066
'Glenwood',"3431 Seminary St, Alton, IL, 62002-5727, US",,(618) 463-0322
'O'connell's Yogi Bear',"Amboy, IL, 61310-0200, US",,(815) 857-3860
'Amboy Mphi Llc',"16 W Wasson Rd, Amboy, IL, 61310-1159, US",95,(815) 857-3611
'The Meadows',"16 W. Wasson, Amboy, IL, 61310, US",,(815) 857-3611
'P A W South Rental Properties',"North Green & George Sts, Anna, IL, 62906, US",21,618-964-1936
'Anna Mobile Home Park',"426 East Jefferson Street, Anna, IL, 62906, US",22,603-502-3164
'Craig's Mobile Home Park',"423 East Jefferson Street, Anna, IL, 62906, US",23,618-833-6697
'Ritchey's Mobile Home Park',"504 East Williams Street, Anna, IL, 62906, US",26,618-827-3668
'Willoway Terrace',"2300 E Oakton St, Arlington Heights, IL, 60005, US",,877-936-2646
'Gilley Mh Park',"223 North Walnut, Arthur, IL, 61911, US",7,217-923-3646
'Plato Recreation Park',"Rr 2, Ashkum, IL, 60911, US",6,815-432-2613
'Ashland East Mobile Home Park',"Sylvan Street, Ashland, IL, 62612, US",16,217-787-5009
'Ashland South Mobile Home Park',"Ashland, IL, 62612, US",41,217-787-5009
'Green Acres Mobile Home Park',"#11 Green Acres, Ashmore, IL, 61912, US",29,217-948-5594
'Whitehouse Mobile Home Park',"109 South Pearl Street, Atkinson, IL, 61235, US",21,309-895-5210
'Why Not Park',"23577 State Highway 47, Aitkin, MN, 56431-2078, US",,(320) 684-2133
'Aitkin Mobile Home Park',"13 1st St Nw, Aitkin, MN, 56431-1303, US",,(218) 927-4335
'Shamrock Mobile Home Park',"1009 Shamrock Lane, Albany, MN, 56307-8700, US",31,320-845-4724
'Countryside Hills Mobile Home',"705 E 18th St, Albert Lea, MN, 56007-3374, US",111,(507) 373-6226
'Albert Lea Estates Mobile Home Community',"1714 Margaretha Ave, Albert Lea, MN, 56007-3286, US",68,507-320-1714
'Stoney Creek Estates',"E 18th Street, Albert Lea, MN, US",,
'',"3375 Smith Lake Road, Alexandria, MN, 56308, US",10,320-763-7848
'Alexandria Manufactured Home',"Rr 2, Alexandria, MN, 56308-9802, US",89,(320) 763-6960
'Meadowland Estates',"401 34th Ave E, Alexandria, MN, 56308-1341, US",54,
'Olson's Mobile Park',"1611 6th Ave E # A7, Alexandria, MN, 56308-2161, US",45,(320) 763-5018
'Ada Pine Beach',"Alexandria, MN, US",,
'Alex Mobile Estates',"Alexandria, MN, US",,
'Cedar Hills Mobile Home Park',"Alexandria, MN, US",,
'',"Alexandria, MN, US",,
'Runestone Mobile Park',"Alexandria, MN, US",,
'Hustad Mobile Home Park',"215 Mckay Ave N, Alexandria, MN, 56308-8550, US",64,(320) 762-0842
'Hiview Park',"2208 State Highway 29 N, Alexandria, MN, 56308-8542, US",65,(320) 763-5962
'Don's Lakeview Mobile Home Pk',"1310 W Lake Cowdry Rd Nw, Alexandria, MN, 56308-8135, US",15,(320) 762-1427
'Eastview Mobile Home Park',"12128 State Highway 55 Nw, Annandale, MN, 55302-3454, US",303,320-274-8187
'Elm Grove Mobile home Park',"12244 Hwy 55nw Trlr 4, Annandale, MN, 55302, US",31,
'Oak Terrace Estates',"6545 Highway 10 Nw, Anoka, MN, 55303-4597, US",89,763-421-6540
'Apple Valley Estates',"13001 Pennock Ave, Apple Valley, MN, 55124-8588, US",108,952-454-2727
'Cedar Knolls',"12571 Garland Ave., Apple Valley, MN, 55124, US",,(952) 431-5771
'Audubon MHP Manufactured Home Community',"770 5th St., Audubon, MN, 56511, US",,218-216-0395
'Oakland Estates MHC',"3700 3rd Place Sw, Austin, MN, 55912, US",217,507-481-5070
'Austin Mobile Home Park',"Austin, MN, 55912, US",30,
'Countryside Park',"Austin, MN, 55912, US",8,
'Pine Acres Park',"Aberdeen, NC, 28315, US",,910-245-3148
'Lock Haven Mobile Home Park',"114 Barr Lane, Advance, NC, 27006, US",,
'Fairfield Mobile Home Park',"433 Baltimore Rd, Advance, NC, 27006, US",,336-998-8444
'Daniel West Subdivision',"160 River Dr, Advance, NC, 27006, US",,
'Hodson Mobile Home Park',"Hodson Rd, Advance, NC, US",16,
'Hobson Mobile Home Park',"815 Redland Rd, Advance, NC, 27006, US",,336-998-4588
'Tyson Village Mh Park',"24224 Nc 138, Albemarle, NC, 28001, US",29,
'Eury's Mhp',"Eds Ave, Albemarle, NC, 28001, US",4,
'Rolling Hills Mobile Home Park',"24001 Canton Rd, Albemarle, NC, 28001, US",71,
'Green Acres Mhp',"Green Acre Dr, Albemarle, NC, 28001, US",43,
'Burlesms Mhp',"26906 Herman Rd, Albemarle, NC, 28001, US",5,
'Green Acres Mobile Home Park',"1351 Judy St # 1, Albemarle, NC, 28001, US",,
'Royal Mhp',"400 Farmbrook, Albemarle, NC, 28001, US",20,
'Hunneycut Mhp',"26738 Burleson Rd, Albemarle, NC, 28001, US",33,
'Shady Oaks Mobile Park',"2302 E Main St, Albemarle, NC, 28001-9125, US",28,704-982-1066
'Eury's Mhp',"30770 Tom Rd, Albemarle, NC, 28001, US",5,
'Sundale Village Trailer Park',"28385 Austin Rd, Albemarle, NC, 28001, US",,
'Bethany Mhp',"34872 Lowder Rd, Albemarle, NC, 28001, US",9,
'Mills Mhp',"Lowder Rd, Albemarle, NC, 28001, US",8,
'Lissa Ann Mh Village',"Millingport Rd, Almond, NC, US",6,
'Broadway Villa',"Kent St, Andrews, NC, 28901, US",21,828-321-3277
'Higdon's Mobile Park',"Higdons Street, Andrews, NC, 28901, US",19,
'Sherrill's Mobile Home Park',"Andrews, NC, 28901, US",47,828-321-5557
'Deans Mobile Home Park',"2828 Matthew Mill Pond Rd, Angier, NC, 27501, US",18,
'R&R Mobile Home Park',"2764 Mathew Mill Pond Rd, Angier, NC, 27501, US",5,
'Barnes Mobile Home Park',"4008 Abbottoir Rd, Angier, NC, 27501, US",3,
'Giles Mobile Home Park',"50 Giles Ln, Angier, NC, 27501, US",9,
'Circle L Mobile Home Park',"2430 Langdorn Rd, Angier, NC, 27501, US",33,
'Brentwood Ii  Mhp',"39 Larry Dr, Angier, NC, 27501, US",100,
'Crossings  Mobile Home Park',"4586 Nc 55 W, Angier, NC, 27501, US",27,919-639-2250
'Woods Village',"3149 Elm St, Abilene, TX, 79602-6841, US",,
'Hartford Village Mobile Hm Pk',"5850 Hartford St # 64, Abilene, TX, 79605-3357, US",130,(325) 691-1047
'Lake Breeze Trailer Park',"902 E South 11th St, Abilene, TX, 79602-4158, US",,(325) 677-9029
'Abilene Estates',"402 Arnold Blvd, Abilene, TX, 79605-2302, US",,(325) 232-6802
'Village Mobile Home Park',"318 Arnold Blvd, Abilene, TX, 79605-1224, US",,(325) 691-0795
'Westgate Mobile Home Park',"161 S Pioneer Dr, Abilene, TX, 79605-1547, US",84,(325) 695-4510
'Continental Villa',"202 Arnold Blvd, Abilene, TX, 79605-1268, US",,(325) 692-5006
'Meadow Ridge Estates',"202 Arnold Blvd, Abilene, TX, 79605, US",50,
'Texas Place Mobile Home Park',"4620 N 1st St, Abilene, TX, 79603-6598, US",,(325) 695-7270
'Coachlight Mobile Home Park',"4600 Coachlight Rd, Abilene, TX, 79603-3111, US",,(325) 673-6631
'Pleasant Hill Mobile Home Park',"109 Meadowlark Dr, Abilene, TX, 79601-2713, US",215,(325) 677-3331
'Oakridge Estates MHC',"5601 Red Hawk Circle, Abilene, TX, 79605, US",100,
'Pleasant Valley Rv Trailer Pk',"1400 W Crocket Rd, Alamo, TX, 78516, US",,(956) 781-3821
'Bougainvillea Courts',"501 U.S. Highway 83, Alamo, TX, 78516-2523, US",32,956-787-9028
'Alamo Palms Mobile Park',"1341 W Us Highway 83, Alamo, TX, 78516-2519, US",649,(956) 787-7571
'Gentle Breeze Mobile & Rv Park',"402 N Cesar Chavez Rd, Alamo, TX, 78516-4001, US",76,(956) 781-8905
'Sioux Road Mobile Home Park',"530 E Frontage Rd, Alamo, TX, 78516-3518, US",,(956) 283-1850
'Alamo Recreational Vehicle',"1320 W Frontage Rd, Alamo, TX, 78516-3701, US",500,(956) 787-8221
'Andy's Mobile & Rv Svc',"Rr 1 Box 85, Alamo, TX, 78516-9742, US",,(956) 781-9459
'Alamo Orange Grove',"1443 Nebraska Rd, Alamo, TX, 78516-9312, US",,
'Highland Mobile Home Park',"W Sioux Rd, Alamo, TX, 78516, US",,
'Lake Fork Marina',"275 Cr 1558, Alba, TX, 75410, US",,903-765-2764
'Lake Fork Resort',"5004 N Sm 17, Alba, TX, 75410, US",,903-765-2987
'Aledo',"124A Yates Circle, Aledo, TX, 76008, US",,(817) 441-7155
'Capri Mobile Home Park',"1121 Stonehinge St #45, Alice, TX, 78332-6700, US",80,361-668-0999
'Blue Bonnett Mobile Home Park',"725 N Johnson St # 29, Alice, TX, 78332-3257, US",34,(361) 668-3606
'Paisano Mobile Home Park',"5540 Highway 359 # C, Alice, TX, 78332-9253, US",50,(361) 664-3909
'Shady Lane Mobile Home Park',"228 Terrell St, Alice, TX, 78332-3330, US",10,361-668-4630
'Palm Mobile Home Park',"1301 Edith Dr # 5, Alice, TX, 78332-3401, US",68,(361) 664-6216
'A & M Mobile Home Park',"3363 N Highway 281 # 1, Alice, TX, 78332-2992, US",15,(361) 664-1502
'Shadow Ridge Rv Resort',"Ajo, AZ, 85321-2368, US",125,520-387-5055
'Alpine Village RV Park',"42702 E Hwy 180, Alpine, AZ, 85920, US",50,928-339-1841
'Quail Run MHP',"3700 S Tomahawk Rd, Apache Junction, AZ, 85219-9256, US",102,480-983-9807
'Palmas Del Sol East',"3400 S Ironwood Dr, Apache Junction, AZ, 85220-7102, US",394,(480) 983-4084
'Saguaro Canyon Village',"3355 S Cortez Rd, Apache Junction, AZ, 85219, US",103,480-983-8339
'Wickiup Mh & Rv Park',"2015 Highway 60 East, Apache Junction, AZ, 85219, US",111,480-982-6604
'Raindance Mobile Park',"2605 S Tomahawk Rd, Apache Junction, AZ, 85219-9115, US",290,480-982-1886
'Sierra Del Saguaro Mh & Rv Resort',"1855 W Southern Ave, Apache Junction, AZ, 85220-7318, US",225,480-982-2444
'Bonita Vista Mh Park',"2175 W Southern Ave, Apache Junction, AZ, 85220-7319, US",406,(480) 982-5630
'Mountain Vista Family Park',"1100 S Warner Dr # 5, Apache Junction, AZ, 85220-6037, US",45,(480) 983-5484
'Weavers N.E.Edle Rv Park',"250 S Tomahawk Rd, Apache Junction, AZ, 85219-5469, US",400,480-982-3683
'Shady Rest Mh Park',"11435 E Apache Trl, Apache Junction, AZ, 85220-3563, US",117,480-986-6997
'Apache Junction Mh Park',"800 W Apache Trl # 56, Apache Junction, AZ, 85220-3937, US",192,480-982-3231
'Danas Trailer Ranch',"10712 E Apache Trl, Apache Junction, AZ, 85220-3365, US",178,480-986-1471
'Raineys Mobile Home Park',"135 N Saguaro Dr, Apache Junction, AZ, 85220, US",11,
'La Casa Trail Mobile Villa',"53 N Mountain Rd, Apache Junction, AZ, 85220-3554, US",79,480-984-6723
'Meridian Mh Park',"351 N Meridian Rd, Apache Junction, AZ, 85120, US",193,480-982-1193
'Zims Trailer Park',"475 N Ocotillo Dr, Apache Junction, AZ, 85220-5356, US",,480-982-9974
'El Dorado Mobile Estates',"202 N Meridian Rd, Apache Junction, AZ, 85220-3628, US",178,480-986-2155
'Silverado Estates',"2900 W Superstition Blvd, Apache Junction, AZ, 85220-2979, US",129,480-982-9067
'Coral Sands Mh Park',"11425 E University Dr, Apache Junction, AZ, 85220-4337, US",147,480-986-3266
'La Siesta Park',"900 N San Marcos Dr, Apache Junction, AZ, 85220-8523, US",101,480-982-5642
'Sunset Mesa Park',"929 N Delaware Dr, Apache Junction, AZ, 85220-2581, US",54,480-982-2439
'Golden Acres Mobile Manor',"1150 N Delaware Dr, Apache Junction, AZ, 85220-2510, US",112,480-982-4049
'Arizona Rv & Mh Park',"2100 E Roundup St, Apache Junction, AZ, 85119, US",55,480-982-6968
'Ironwood Mh Park',"1280 N Ironwood Dr, Apache Junction, AZ, 85120, US",100,775-762-1038
'Mountain View Ranch',"1325 N Delaware Dr # 124, Apache Junction, AZ, 85220-2567, US",138,480-982-3455
'Sierra Leone Mobile Park',"1804 W Tepee St, Apache Junction, AZ, 85120, US",80,480-982-5962
'Windsong Mh Park',"2292 N Ironwood Dr # 84, Apache Junction, AZ, 85220-1563, US",135,480-983-5121
'Shiprock RV Resort',"1700  W. Shiprock, Apache Junction, AZ, 85120, US",120,480-505-1300
'Sunset Acres Mobile Home Park',"405 E. Water Street, Akron, IN, 46910, US",23,
'Fairview Acres',"S.R. 28, Albany, IN, 47320, US",32,
'Albany Mobile Home Park',"715 N Plum St, Albany, IN, 47320-1040, US",40,(765) 789-6606
'7th Street Park',"411 S 7th St, Albion, IN, 46701-1418, US",43,(260) 636-3663
'Maple Courts/Kd Homes',"313 S. Oak St., Albion, IN, 46701, US",27,260-636-1125
'Orchard Ridge Mobile Estates',"410 E. South St., Albion, IN, 46701-1530, US",50,(219) 923-9002
'Kozy Valley Mobile Home Park',"814 E. South St., Albion, IN, 46701, US",22,(219) 923-9002
'K D Homes Inc',"729 W 300 N, Albion, IN, 46701-9558, US",,(260) 636-1245
'Sunset Valley Estates',"310 W. Hazel St., Albion, IN, 46701, US",11,260-636-7297
'Hippenhammer Mobile Home Park',"S.R. 8, Albion, IN, 46701, US",11,
'Country Living Mobile Home Park',"S.R. 9 & 900 N., Alexandria, IN, 46001, US",12,765-754-7733
'Four Season Mobile Home Park',"Madison Ave. Rd., Alexandria, IN, 46001, US",32,
'Midway Mobile Home Park',"4272 W. 1100 N., Alexandria, IN, 46001, US",17,765-754-7737
'The Modern Mobile Home Court',"1301 Park Ave., Alexandria, IN, 46001, US",82,765-724-2059
'Alexandria Mobile Home Park',"1411 N Park Ave, Alexandria, IN, 46001-1043, US",74,(765) 724-7023
'Country Side Court',"7540 Americus Rd, Americus, IN, US",10,765-589-8641
'Hi Way Inc Park',"1625 W. 53rd St., Anderson, IN, 46011, US",36,765-644-5876
'Southgate Village',"328 W 53rd St # 86, Anderson, IN, 46013-1587, US",78,(765) 641-7018
'Camelot Village',"2700 West 38th Street, Anderson, IN, 46011, US",,(765) 644-4479
'Deerfield Run',"2986 Deerfield Run Blvd, Anderson, IN, 46017-9327, US",210,(765) 643-4580
'Redbud Estates',"1800 W 38th St, Anderson, IN, 46013-1099, US",579,(765) 644-4479
'Meadowbrook Golf Estates',"1104 Club House Dr, Anderson, IN, 46013-6019, US",,(765) 608-1000
'Valley Grove Mobile Home Park',"2455 E Cr 67 #1, Anderson, IN, 46017, US",20,765-621-3128
'Mounds Mobile Home Park',"2721 Mounds Rd, Anderson, IN, 46016-5861, US",54,(765) 642-5939
'Hollywood Estates',"144 Hollywood Blvd., Anderson, IN, 46016-5821, US",240,765-649-7191
'Royal Oaks Llc Mobile Home Community',"4801 E. County Rd. 67 Suite 248, Anderson, IN, 46017, US",192,765-378-5967
'Bubbling Springs Mobile Home',"757 N 500 E, Anderson, IN, 46017, US",17,(765) 378-7430
'Shady Rest Mobile Home Park',"325 E. Cross St., Anderson, IN, 46012, US",30,765-644-8118
'Willow Inn Mobile Home Park',"235 W Willow St, Anderson, IN, 46012-1697, US",39,765-644-9981
'Triangle Mobile Home Park',"2917 N State Road 9, Anderson, IN, 46012-1527, US",48,765-649-6646
'Jodie's Mh Park',"775 Riverside Rd, Avon, MS, 38723, US",15,662-378-3810
'Park Place Court',"1400 East Second St, Adams County, ND, US",,
'Arthur Mobile Home Park',"Arthur, ND, 58006-0081, US",,(701) 967-8579
'Pleasant View',"65 E 400 S, American Fork, UT, 84003, US",,
'C View Mobile Home Park',"360 S 100 E, American Fork, UT, 84003, US",,
'Riviera Mobile Home Park',"40 E 300 S, American Fork, UT, 84003, US",,
'Seven C's Mobile Home Park',"120N 350W #122, American Fork, UT, 84003, US",75,801-756-3996
'Brown's Mobile Courts',"420 Mulberry St, Alma, AR, 72921-3926, US",,479-632-2791
